"","ActivityDate","total_dailySteps","total_dailydistance","total_dailycalories"
"1",2016-04-12,271816,197.429999209,78893
"2",2016-04-13,237558,168.409999432,75459
"3",2016-04-14,255538,184.780000767,77761
"4",2016-04-15,248617,174.499999645,77721
"5",2016-04-16,277733,201.330000572,76574
"6",2016-04-17,205096,145.299998728,71391
"7",2016-04-18,252703,181.049999192,74668
"8",2016-04-19,257557,187.899997594,75491
"9",2016-04-20,261215,190.410001408,76647
"10",2016-04-21,263795,192.96000216,77500
"11",2016-04-22,238284,170.489999126,74485
"12",2016-04-23,267124,186.920001276,76709
"13",2016-04-24,236621,174.960000865,73326
"14",2016-04-25,253849,180.250000577,75186
"15",2016-04-26,250688,177.110000846,74604
"16",2016-04-27,258516,189.289999969,74514
"17",2016-04-28,242996,171.570000535,74114
"18",2016-04-29,234289,165.799999618,72722
"19",2016-04-30,258726,189.119998215,73592
"20",2016-05-01,206870,149.249999825,66913
"21",2016-05-02,204434,144.049999566,65988
"22",2016-05-03,248203,176.739999609,71163
"23",2016-05-04,196149,143.269998973,66211
"24",2016-05-05,253200,180.280000569,70037
"25",2016-05-06,217287,158.259999893,68877
"26",2016-05-07,207386,148.610000381,65141
"27",2016-05-08,190334,138.779999498,62193
"28",2016-05-09,222718,160.999999877,63063
"29",2016-05-10,206737,147.319997583,57963
"30",2016-05-11,180468,131.869999415,52562
"31",2016-05-12,73129,51.309999746,23925
