"","ActivityDate","VeryActive","FairlyActive","LightlyActive"
"1",2016-04-12,736,259,6567
"2",2016-04-13,671,349,5998
"3",2016-04-14,691,409,6633
"4",2016-04-15,633,326,7057
"5",2016-04-16,891,484,6202
"6",2016-04-17,605,379,5291
"7",2016-04-18,781,516,6025
"8",2016-04-19,767,441,6461
"9",2016-04-20,774,600,6515
"10",2016-04-21,859,478,5845
"11",2016-04-22,782,424,6257
"12",2016-04-23,601,481,7453
"13",2016-04-24,673,439,5962
"14",2016-04-25,909,364,6172
"15",2016-04-26,634,564,6408
"16",2016-04-27,757,345,6322
"17",2016-04-28,575,378,6694
"18",2016-04-29,520,448,6559
"19",2016-04-30,628,513,6775
"20",2016-05-01,679,471,4808
"21",2016-05-02,466,382,5418
"22",2016-05-03,723,430,5897
"23",2016-05-04,405,323,5214
"24",2016-05-05,640,448,6010
"25",2016-05-06,592,328,5856
"26",2016-05-07,598,407,5256
"27",2016-05-08,461,469,4990
"28",2016-05-09,617,418,5432
"29",2016-05-10,629,485,4663
"30",2016-05-11,510,348,4429
"31",2016-05-12,88,45,2075
