"","Id","VeryActive","FairlyActive","LightlyActive"
"1","1503960366",1200,594,6818
"2","1624580081",269,180,4758
"3","1644430081",287,641,5354
"4","1844505072",4,40,3579
"5","1927972279",41,24,1196
"6","2022484408",1125,600,7981
"7","2026352035",3,8,7956
"8","2320127002",42,80,6144
"9","2347167796",243,370,4545
"10","2873212765",437,190,9548
"11","3372868164",183,82,6558
"12","3977333714",567,1838,5243
"13","4020332650",161,166,2385
"14","4057192912",3,6,412
"15","4319703577",111,382,7092
"16","4388161847",718,631,7110
"17","4445114986",205,54,6482
"18","4558609924",322,425,8834
"19","4702921684",159,807,7362
"20","5553957443",726,403,6392
"21","5577150313",2620,895,4438
"22","6117666160",44,57,8074
"23","6290855005",80,110,6596
"24","6775888955",286,385,1044
"25","6962181067",707,574,7620
"26","7007744171",807,423,7299
"27","7086361926",1320,786,4459
"28","8053475328",2640,297,4680
"29","8253242879",390,272,2221
"30","8378563200",1819,318,4839
"31","8583815059",300,688,4287
"32","8792009665",28,117,2662
"33","8877689391",2048,308,7276
